ID,input type,distance,Phrase,word,ux,uy,delta time,sum time
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚¨,-0.03752799,0.01334888,0, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚à,-0.03601679,-0.02837687,1.207684, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚¢,-0.06296642,0.03181903,0.9888268, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚«,-0.03123135,0.03089553,0.873188, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚è,-0.008563434,-0.01267724,1.156555, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚à,-0.04281717,-0.02535448,1.028225, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚Ð,-0.008479478,0.009402986,0.9738121, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚Â,-0.04113806,0.03064366,1.070221, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚æ,-0.01360075,-0.02997202,0.9273415, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,‚¤,-0.03551306,0.045,1.157017, 
0,normal,,‚¨‚à‚¢‚«‚è‚à‚Ð‚Â‚æ‚¤,E,0.0352612,-0.01334888,1.504871,10.88774
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚«,-0.03416978,0.03089553,0, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚æ,-0.009822762,-0.03517724,0.8739395, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚¤,-0.0401306,0.04416045,2.0993, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚à,-0.04474814,-0.03383396,1.002171, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚Ä,-0.008815299,0.008479478,0.9100151, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚Â,-0.03887127,0.03013993,1.068672, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,‚â,-0.006464553,-0.01351679,0.8851471, 
0,normal,,‚«‚å‚¤‚à‚Ä‚Â‚â,E,0.0376959,-0.006800374,1.450844,8.290089
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚Â,-0.03702426,0.02636194,0, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚­,-0.006044777,0.04122202,0.9357071, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚Í,0.01905784,0.006044777,0.6214752, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚³,0.01578358,0.0232556,2.885902, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚É,-0.02535448,0.006800374,2.329346, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚Ì,-0.01032649,-0.005541045,0.8752365, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚Ù,0.01477612,-0.005625,1.177475, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,‚é,0.01964552,0.00915112,1.723808, 
0,normal,,‚Â‚­‚Î‚³‚ñ‚É‚Ì‚Ú‚é,E,0.03987873,-0.01704291,0.6422577,11.19121
